weekday,Zone,hour,driver_pay
Friday,Crown Heights North,0,13328.91
Friday,Crown Heights North,1,8398.76
Friday,Crown Heights North,2,6117.39
Friday,Crown Heights North,3,7178.81
Friday,Crown Heights North,4,9912.66
Friday,Crown Heights North,5,15101.63
Friday,Crown Heights North,6,21311.5
Friday,Crown Heights North,7,33031.99
Friday,Crown Heights North,8,32445.99
Friday,Crown Heights North,9,28512.66
Friday,Crown Heights North,10,22054.56
Friday,Crown Heights North,11,21387.42
Friday,Crown Heights North,12,22346.7
Friday,Crown Heights North,13,22866.54
Friday,Crown Heights North,14,27039.68
Friday,Crown Heights North,15,30326.2
Friday,Crown Heights North,16,29367.71
Friday,Crown Heights North,17,34022.33
Friday,Crown Heights North,18,38625.93
Friday,Crown Heights North,19,36370.22
Friday,Crown Heights North,20,32473.4
Friday,Crown Heights North,21,28180.67
Friday,Crown Heights North,22,33686.82
Friday,Crown Heights North,23,35601.26
Friday,East Chelsea,0,18202.59
Friday,East Chelsea,1,10487.76
Friday,East Chelsea,2,8738.49
Friday,East Chelsea,3,9967.59
Friday,East Chelsea,4,10406.44
Friday,East Chelsea,5,12413.56
Friday,East Chelsea,6,14075.38
Friday,East Chelsea,7,18323.73
Friday,East Chelsea,8,21479.27
Friday,East Chelsea,9,23193.8
Friday,East Chelsea,10,26579.59
Friday,East Chelsea,11,28162.53
Friday,East Chelsea,12,24978.46
Friday,East Chelsea,13,29249.05
Friday,East Chelsea,14,32582.16
Friday,East Chelsea,15,31992.5
Friday,East Chelsea,16,26694.96
Friday,East Chelsea,17,33063.69
Friday,East Chelsea,18,35332.84
Friday,East Chelsea,19,33761.2
Friday,East Chelsea,20,31670.26
Friday,East Chelsea,21,35126.48
Friday,East Chelsea,22,45722.13
Friday,East Chelsea,23,41451.22
Friday,East Village,0,32027.3
Friday,East Village,1,24694.77
Friday,East Village,2,19737.73
Friday,East Village,3,13825.37
Friday,East Village,4,13926.51
Friday,East Village,5,10781.92
Friday,East Village,6,12910.48
Friday,East Village,7,14744.69
Friday,East Village,8,18145.63
Friday,East Village,9,16125.4
Friday,East Village,10,13838.04
Friday,East Village,11,13703.97
Friday,East Village,12,15234.11
Friday,East Village,13,16867.34
Friday,East Village,14,18509.17
Friday,East Village,15,18875.79
Friday,East Village,16,18635.61
Friday,East Village,17,23909.7
Friday,East Village,18,33812.66
Friday,East Village,19,40547.86
Friday,East Village,20,43506.46
Friday,East Village,21,50092.04
Friday,East Village,22,66635.6
Friday,East Village,23,80230.2
Friday,JFK Airport,0,105229.31
Friday,JFK Airport,1,50780.02
Friday,JFK Airport,2,14942.93
Friday,JFK Airport,3,7394.41
Friday,JFK Airport,4,5356.15
Friday,JFK Airport,5,40672.63
Friday,JFK Airport,6,88952.43
Friday,JFK Airport,7,94846.59
Friday,JFK Airport,8,66920.81
Friday,JFK Airport,9,80827.69
Friday,JFK Airport,10,77601.94
Friday,JFK Airport,11,74565.48
Friday,JFK Airport,12,85207.73
Friday,JFK Airport,13,101941.68
Friday,JFK Airport,14,142988.42
Friday,JFK Airport,15,150785.3
Friday,JFK Airport,16,191008.35
Friday,JFK Airport,17,158698.02
Friday,JFK Airport,18,123266.07
Friday,JFK Airport,19,138168.28
Friday,JFK Airport,20,147064.07
Friday,JFK Airport,21,157884.19
Friday,JFK Airport,22,168005.43
Friday,JFK Airport,23,164073.36
Friday,LaGuardia Airport,0,29088.06
Friday,LaGuardia Airport,1,5434.22
Friday,LaGuardia Airport,2,1027.57
Friday,LaGuardia Airport,3,323.75
Friday,LaGuardia Airport,4,567.91
Friday,LaGuardia Airport,5,833.44
Friday,LaGuardia Airport,6,2470.77
Friday,LaGuardia Airport,7,19042.53
Friday,LaGuardia Airport,8,46198.51
Friday,LaGuardia Airport,9,77922.59
Friday,LaGuardia Airport,10,92343.34
Friday,LaGuardia Airport,11,76706.82
Friday,LaGuardia Airport,12,83958.98
Friday,LaGuardia Airport,13,84153.27
Friday,LaGuardia Airport,14,109185.05
Friday,LaGuardia Airport,15,116403.34
Friday,LaGuardia Airport,16,123920.73
Friday,LaGuardia Airport,17,100311.81
Friday,LaGuardia Airport,18,119047.37
Friday,LaGuardia Airport,19,128058.66
Friday,LaGuardia Airport,20,100560.33
Friday,LaGuardia Airport,21,85647.53
Friday,LaGuardia Airport,22,101424.67
Friday,LaGuardia Airport,23,78244.56
Friday,Midtown Center,0,26337.83
Friday,Midtown Center,1,13066.46
Friday,Midtown Center,2,8781.44
Friday,Midtown Center,3,5200.21
Friday,Midtown Center,4,6919.13
Friday,Midtown Center,5,5795.53
Friday,Midtown Center,6,7867.91
Friday,Midtown Center,7,10459.6
Friday,Midtown Center,8,13177.47
Friday,Midtown Center,9,16827.6
Friday,Midtown Center,10,23409.32
Friday,Midtown Center,11,26753.25
Friday,Midtown Center,12,29299.72
Friday,Midtown Center,13,37012.54
Friday,Midtown Center,14,38803.28
Friday,Midtown Center,15,40626.8
Friday,Midtown Center,16,43192.13
Friday,Midtown Center,17,47977.02
Friday,Midtown Center,18,40577.26
Friday,Midtown Center,19,39158.84
Friday,Midtown Center,20,34525.84
Friday,Midtown Center,21,34405.61
Friday,Midtown Center,22,37627.65
Friday,Midtown Center,23,34307.47
Friday,Midtown South,0,24626.14
Friday,Midtown South,1,19897.170000000002
Friday,Midtown South,2,13042.56
Friday,Midtown South,3,10514.15
Friday,Midtown South,4,13890.84
Friday,Midtown South,5,13790.58
Friday,Midtown South,6,13198.58
Friday,Midtown South,7,15257.54
Friday,Midtown South,8,19538.06
Friday,Midtown South,9,19768.22
Friday,Midtown South,10,21166.23
Friday,Midtown South,11,21480.72
Friday,Midtown South,12,23456.87
Friday,Midtown South,13,26228.54
Friday,Midtown South,14,28340.04
Friday,Midtown South,15,28707.72
Friday,Midtown South,16,25371.57
Friday,Midtown South,17,27928.9
Friday,Midtown South,18,30858.99
Friday,Midtown South,19,31363.06
Friday,Midtown South,20,28849.84
Friday,Midtown South,21,29663.48
Friday,Midtown South,22,38736.47
Friday,Midtown South,23,45406.52
Friday,Times Sq/Theatre District,0,32537.23
Friday,Times Sq/Theatre District,1,19495.6
Friday,Times Sq/Theatre District,2,13639.6
Friday,Times Sq/Theatre District,3,11538.11
Friday,Times Sq/Theatre District,4,15545.29
Friday,Times Sq/Theatre District,5,13999.33
Friday,Times Sq/Theatre District,6,15389.34
Friday,Times Sq/Theatre District,7,20498.97
Friday,Times Sq/Theatre District,8,26010.09
Friday,Times Sq/Theatre District,9,28997.75
Friday,Times Sq/Theatre District,10,29074.17
Friday,Times Sq/Theatre District,11,31668.8
Friday,Times Sq/Theatre District,12,31055.85
Friday,Times Sq/Theatre District,13,29454.51
Friday,Times Sq/Theatre District,14,31638.32
Friday,Times Sq/Theatre District,15,30206.45
Friday,Times Sq/Theatre District,16,28064.46
Friday,Times Sq/Theatre District,17,31200.29
Friday,Times Sq/Theatre District,18,29768.14
Friday,Times Sq/Theatre District,19,27421.84
Friday,Times Sq/Theatre District,20,31939.28
Friday,Times Sq/Theatre District,21,47073.39
Friday,Times Sq/Theatre District,22,68991.69
Friday,Times Sq/Theatre District,23,48663.23
Friday,TriBeCa/Civic Center,0,21664.37
Friday,TriBeCa/Civic Center,1,10811.87
Friday,TriBeCa/Civic Center,2,5672.42
Friday,TriBeCa/Civic Center,3,4057.7
Friday,TriBeCa/Civic Center,4,10331.48
Friday,TriBeCa/Civic Center,5,11331.11
Friday,TriBeCa/Civic Center,6,16007.91
Friday,TriBeCa/Civic Center,7,23703.24
Friday,TriBeCa/Civic Center,8,26650.41
Friday,TriBeCa/Civic Center,9,24649.52
Friday,TriBeCa/Civic Center,10,24354.9
Friday,TriBeCa/Civic Center,11,24868.32
Friday,TriBeCa/Civic Center,12,26288.3
Friday,TriBeCa/Civic Center,13,26834.39
Friday,TriBeCa/Civic Center,14,31716.63
Friday,TriBeCa/Civic Center,15,30781.84
Friday,TriBeCa/Civic Center,16,31654.58
Friday,TriBeCa/Civic Center,17,37459.52
Friday,TriBeCa/Civic Center,18,43742.39
Friday,TriBeCa/Civic Center,19,42955.5
Friday,TriBeCa/Civic Center,20,38629.2
Friday,TriBeCa/Civic Center,21,37059.83
Friday,TriBeCa/Civic Center,22,44710.01
Friday,TriBeCa/Civic Center,23,47170.7
Friday,Union Sq,0,20752.17
Friday,Union Sq,1,11220.62
Friday,Union Sq,2,6568.55
Friday,Union Sq,3,4889.6
Friday,Union Sq,4,5630.35
Friday,Union Sq,5,8148.56
Friday,Union Sq,6,9395.97
Friday,Union Sq,7,12228.52
Friday,Union Sq,8,15145.94
Friday,Union Sq,9,14346.76
Friday,Union Sq,10,15106.5
Friday,Union Sq,11,17978.44
Friday,Union Sq,12,20336.16
Friday,Union Sq,13,24129.32
Friday,Union Sq,14,26571.47
Friday,Union Sq,15,28890.38
Friday,Union Sq,16,27440.12
Friday,Union Sq,17,30769.38
Friday,Union Sq,18,33367.5
Friday,Union Sq,19,35235.2
Friday,Union Sq,20,33481.63
Friday,Union Sq,21,34756.08
Friday,Union Sq,22,44532.25
Friday,Union Sq,23,45950.06
Monday,Bushwick South,0,37066.14
Monday,Bushwick South,1,50348.55
Monday,Bushwick South,2,51799.32
Monday,Bushwick South,3,41094.73
Monday,Bushwick South,4,28474.3
Monday,Bushwick South,5,22961.58
Monday,Bushwick South,6,24153.03
Monday,Bushwick South,7,26269.38
Monday,Bushwick South,8,24845.36
Monday,Bushwick South,9,20162.12
Monday,Bushwick South,10,17899.6
Monday,Bushwick South,11,17183.89
Monday,Bushwick South,12,18233.62
Monday,Bushwick South,13,20014.43
Monday,Bushwick South,14,20301.18
Monday,Bushwick South,15,19715.98
Monday,Bushwick South,16,21652.55
Monday,Bushwick South,17,22371.51
Monday,Bushwick South,18,21097.59
Monday,Bushwick South,19,19858.5
Monday,Bushwick South,20,17804.55
Monday,Bushwick South,21,15549.77
Monday,Bushwick South,22,16978.21
Monday,Bushwick South,23,15345.1
Monday,Clinton East,0,35317.37
Monday,Clinton East,1,37575.43
Monday,Clinton East,2,37707.89
Monday,Clinton East,3,29876.96
Monday,Clinton East,4,25594.81
Monday,Clinton East,5,20019.17
Monday,Clinton East,6,20144.01
Monday,Clinton East,7,24801.13
Monday,Clinton East,8,24579.06
Monday,Clinton East,9,22178.33
Monday,Clinton East,10,22165.89
Monday,Clinton East,11,23076.56
Monday,Clinton East,12,22709.93
Monday,Clinton East,13,23057.21
Monday,Clinton East,14,25086.92
Monday,Clinton East,15,24659.77
Monday,Clinton East,16,23686.85
Monday,Clinton East,17,25589.82
Monday,Clinton East,18,24369.5
Monday,Clinton East,19,22842.19
Monday,Clinton East,20,21969.88
Monday,Clinton East,21,26450.56
Monday,Clinton East,22,22183.32
Monday,Clinton East,23,17483.27
Monday,Crown Heights North,0,32241.46
Monday,Crown Heights North,1,35016.79
Monday,Crown Heights North,2,26239.36
Monday,Crown Heights North,3,18295.82
Monday,Crown Heights North,4,17325.03
Monday,Crown Heights North,5,18470.45
Monday,Crown Heights North,6,24375.91
Monday,Crown Heights North,7,30497.09
Monday,Crown Heights North,8,30498.99
Monday,Crown Heights North,9,27468.76
Monday,Crown Heights North,10,23060.36
Monday,Crown Heights North,11,22257.77
Monday,Crown Heights North,12,21561.19
Monday,Crown Heights North,13,25222.12
Monday,Crown Heights North,14,27613.16
Monday,Crown Heights North,15,28077.81
Monday,Crown Heights North,16,29074.42
Monday,Crown Heights North,17,30840.58
Monday,Crown Heights North,18,28705.03
Monday,Crown Heights North,19,27024.46
Monday,Crown Heights North,20,23569.74
Monday,Crown Heights North,21,21520.06
Monday,Crown Heights North,22,23788.07
Monday,Crown Heights North,23,19415.91
Monday,East Chelsea,0,30440.92
Monday,East Chelsea,1,32949.37
Monday,East Chelsea,2,28263.46
Monday,East Chelsea,3,19276.74
Monday,East Chelsea,4,16128.77
Monday,East Chelsea,5,12259.75
Monday,East Chelsea,6,15097.99
Monday,East Chelsea,7,19444.36
Monday,East Chelsea,8,27119.04
Monday,East Chelsea,9,24279.33
Monday,East Chelsea,10,24608.27
Monday,East Chelsea,11,24414.47
Monday,East Chelsea,12,29012.08
Monday,East Chelsea,13,28915.05
Monday,East Chelsea,14,28675.83
Monday,East Chelsea,15,30421.41
Monday,East Chelsea,16,32298.1
Monday,East Chelsea,17,42317.58
Monday,East Chelsea,18,37523.12
Monday,East Chelsea,19,34356.02
Monday,East Chelsea,20,33206.55
Monday,East Chelsea,21,39092.4
Monday,East Chelsea,22,30743.88
Monday,East Chelsea,23,25458.39
Monday,East Village,0,49745.64
Monday,East Village,1,63111.09
Monday,East Village,2,57562.25
Monday,East Village,3,35380.68
Monday,East Village,4,23478.04
Monday,East Village,5,16016.63
Monday,East Village,6,16971.71
Monday,East Village,7,18184.97
Monday,East Village,8,21322.08
Monday,East Village,9,20194.51
Monday,East Village,10,16650.08
Monday,East Village,11,16438.98
Monday,East Village,12,16775.79
Monday,East Village,13,19557.35
Monday,East Village,14,19545.95
Monday,East Village,15,21548.24
Monday,East Village,16,19773.87
Monday,East Village,17,20852.65
Monday,East Village,18,23747.21
Monday,East Village,19,23416.72
Monday,East Village,20,25700.29
Monday,East Village,21,29949.78
Monday,East Village,22,26518.52
Monday,East Village,23,21011.99
Monday,JFK Airport,0,128618.68
Monday,JFK Airport,1,60886.67
Monday,JFK Airport,2,25377.84
Monday,JFK Airport,3,12307.76
Monday,JFK Airport,4,11154.22
Monday,JFK Airport,5,58287.52
Monday,JFK Airport,6,122646.74
Monday,JFK Airport,7,124306.72
Monday,JFK Airport,8,97364.07
Monday,JFK Airport,9,98729.26
Monday,JFK Airport,10,131018.13
Monday,JFK Airport,11,107234.22
Monday,JFK Airport,12,122070.46
Monday,JFK Airport,13,138151.93
Monday,JFK Airport,14,178743.57
Monday,JFK Airport,15,241244.4
Monday,JFK Airport,16,241098.09
Monday,JFK Airport,17,234562.29
Monday,JFK Airport,18,189482.36
Monday,JFK Airport,19,254306.54
Monday,JFK Airport,20,202668.17
Monday,JFK Airport,21,206204.84
Monday,JFK Airport,22,242318.72
Monday,JFK Airport,23,253843.34
Monday,LaGuardia Airport,0,73139.87
Monday,LaGuardia Airport,1,9247.33
Monday,LaGuardia Airport,2,7549.65
Monday,LaGuardia Airport,3,720.03
Monday,LaGuardia Airport,4,895.37
Monday,LaGuardia Airport,5,1391.64
Monday,LaGuardia Airport,6,2704.58
Monday,LaGuardia Airport,7,29326.71
Monday,LaGuardia Airport,8,72432.28
Monday,LaGuardia Airport,9,130732.97
Monday,LaGuardia Airport,10,156366.6
Monday,LaGuardia Airport,11,109760.69
Monday,LaGuardia Airport,12,106276.76
Monday,LaGuardia Airport,13,114231.55
Monday,LaGuardia Airport,14,148159.23
Monday,LaGuardia Airport,15,128302.99
Monday,LaGuardia Airport,16,131733.1
Monday,LaGuardia Airport,17,127723.43
Monday,LaGuardia Airport,18,140107.44
Monday,LaGuardia Airport,19,145379.11
Monday,LaGuardia Airport,20,158145.31
Monday,LaGuardia Airport,21,97683.58
Monday,LaGuardia Airport,22,160032.68
Monday,LaGuardia Airport,23,128483.07
Monday,Midtown Center,0,25989.68
Monday,Midtown Center,1,17623.93
Monday,Midtown Center,2,13853.18
Monday,Midtown Center,3,8806.09
Monday,Midtown Center,4,5485.99
Monday,Midtown Center,5,6066.79
Monday,Midtown Center,6,7725.64
Monday,Midtown Center,7,9836.58
Monday,Midtown Center,8,12919.21
Monday,Midtown Center,9,18037.71
Monday,Midtown Center,10,21124.07
Monday,Midtown Center,11,25965.19
Monday,Midtown Center,12,27972.65
Monday,Midtown Center,13,30713.9
Monday,Midtown Center,14,35290.69
Monday,Midtown Center,15,34841.01
Monday,Midtown Center,16,38881.22
Monday,Midtown Center,17,47135.66
Monday,Midtown Center,18,48367.68
Monday,Midtown Center,19,55124.12
Monday,Midtown Center,20,66368.15
Monday,Midtown Center,21,62855.82
Monday,Midtown Center,22,40192.32
Monday,Midtown Center,23,27415.01
Monday,Times Sq/Theatre District,0,16949.079999999998
Monday,Times Sq/Theatre District,1,11808.74
Monday,Times Sq/Theatre District,2,10352.72
Monday,Times Sq/Theatre District,3,17890.09
Monday,Times Sq/Theatre District,4,20196.08
Monday,Times Sq/Theatre District,5,15839.18
Monday,Times Sq/Theatre District,6,17872.74
Monday,Times Sq/Theatre District,7,22338.45
Monday,Times Sq/Theatre District,8,32634.34
Monday,Times Sq/Theatre District,9,31964.59
Monday,Times Sq/Theatre District,10,34506.41
Monday,Times Sq/Theatre District,11,38174.25
Monday,Times Sq/Theatre District,12,37836.04
