weekday,Zone,week_number,hour,driver_pay
Friday,Clinton East,2,0,7224.21
Friday,Clinton East,2,1,5791.5199999999995
Friday,Clinton East,2,2,3717.12
Friday,Clinton East,2,3,3588.73
Friday,Clinton East,2,4,3527.91
Friday,Clinton East,2,5,2798.12
Friday,Clinton East,2,6,2173.79
Friday,Clinton East,2,7,3312.4700000000003
Friday,Clinton East,2,8,4075.41
Friday,Clinton East,2,9,4335.62
Friday,Clinton East,2,10,5522.03
Friday,Clinton East,2,11,5633.28
Friday,Clinton East,2,12,4695.99
Friday,Clinton East,2,13,4753.91
Friday,Clinton East,2,14,5006.16
Friday,Clinton East,2,15,4391.09
Friday,Clinton East,2,16,4934.96
Friday,Clinton East,2,17,4744.29
Friday,Clinton East,2,18,5593.41
Friday,Clinton East,2,19,7406.9
Friday,Clinton East,2,20,6869.63
Friday,Clinton East,2,21,8058.5199999999995
Friday,Clinton East,2,22,9834.98
Friday,Clinton East,2,23,8286.49
Friday,Clinton East,3,0,7070.82
Friday,Clinton East,3,1,5560.05
Friday,Clinton East,3,2,4791.96
Friday,Clinton East,3,3,4390.85
Friday,Clinton East,3,4,4136.2
Friday,Clinton East,3,5,3149.02
Friday,Clinton East,3,6,4274.11
Friday,Clinton East,3,7,5456.6900000000005
Friday,Clinton East,3,8,7473.39
Friday,Clinton East,3,9,5419.47
Friday,Clinton East,3,10,5708.71
Friday,Clinton East,3,11,4611.26
Friday,Clinton East,3,12,6543.14
Friday,Clinton East,3,13,6060.99
Friday,Clinton East,3,14,5678.86
Friday,Clinton East,3,15,5575.91
Friday,Clinton East,3,16,5876.5
Friday,Clinton East,3,17,6602.07
Friday,Clinton East,3,18,7197.77
Friday,Clinton East,3,19,8157.39
Friday,Clinton East,3,20,7270.65
Friday,Clinton East,3,21,9126.85
Friday,Clinton East,3,22,11705.16
Friday,Clinton East,3,23,10969.37
Friday,Clinton East,4,0,7368.62
Friday,Clinton East,4,1,6094.22
Friday,Clinton East,4,2,3942.26
Friday,Clinton East,4,3,4117.38
Friday,Clinton East,4,4,4396.38
Friday,Clinton East,4,5,3696.4
Friday,Clinton East,4,6,4023.86
Friday,Clinton East,4,7,5397.74
Friday,Clinton East,4,8,5744.11
Friday,Clinton East,4,9,5588.63
Friday,Clinton East,4,10,5723.36
Friday,Clinton East,4,11,6429.67
Friday,Clinton East,4,12,5767.66
Friday,Clinton East,4,13,5096.3
Friday,Clinton East,4,14,6723.89
Friday,Clinton East,4,15,5081.11
Friday,Clinton East,4,16,5740.79
Friday,Clinton East,4,17,6414.66
Friday,Clinton East,4,18,7590.84
Friday,Clinton East,4,19,7236.08
Friday,Clinton East,4,20,8116.73
Friday,Clinton East,4,21,8574.69
Friday,Clinton East,4,22,11417.13
Friday,Clinton East,4,23,12561.15
Friday,Clinton East,5,0,7244.15
Friday,Clinton East,5,1,5965.39
Friday,Clinton East,5,2,4224.12
Friday,Clinton East,5,3,3360.24
Friday,Clinton East,5,4,3605.97
Friday,Clinton East,5,5,3492.94
Friday,Clinton East,5,6,3733.83
Friday,Clinton East,5,7,4739.37
Friday,Clinton East,5,8,6859.52
Friday,Clinton East,5,9,6555.42
Friday,Clinton East,5,10,6432.51
Friday,Clinton East,5,11,6891.99
Friday,Clinton East,5,12,5182.61
Friday,Clinton East,5,13,4859.24
Friday,Clinton East,5,14,6463.07
Friday,Clinton East,5,15,5625.71
Friday,Clinton East,5,16,6210.12
Friday,Clinton East,5,17,5972.51
Friday,Clinton East,5,18,6528.19
Friday,Clinton East,5,19,7579.71
Friday,Clinton East,5,20,6981.83
Friday,Clinton East,5,21,8481.52
Friday,Clinton East,5,22,12554.41
Friday,Clinton East,5,23,11190.0
Friday,Crown Heights North,2,0,9986.47
Friday,Crown Heights North,2,1,6204.45
Friday,Crown Heights North,2,2,4091.31
Friday,Crown Heights North,2,3,2897.41
Friday,Crown Heights North,2,4,3118.08
Friday,Crown Heights North,2,5,3787.5
Friday,Crown Heights North,2,6,4091.12
Friday,Crown Heights North,2,7,5519.42
Friday,Crown Heights North,2,8,6046.44
Friday,Crown Heights North,2,9,6018.45
Friday,Crown Heights North,2,10,5428.42
Friday,Crown Heights North,2,11,5449.67
Friday,Crown Heights North,2,12,5536.77
Friday,Crown Heights North,2,13,5759.0
Friday,Crown Heights North,2,14,6030.37
Friday,Crown Heights North,2,15,6625.9
Friday,Crown Heights North,2,16,6575.44
Friday,Crown Heights North,2,17,7612.25
Friday,Crown Heights North,2,18,8398.49
Friday,Crown Heights North,2,19,8804.63
Friday,Crown Heights North,2,20,8319.1
Friday,Crown Heights North,2,21,6627.9
Friday,Crown Heights North,2,22,7351.33
Friday,Crown Heights North,2,23,7070.82
Friday,Crown Heights North,3,0,4258.8
Friday,Crown Heights North,3,1,2438.06
Friday,Crown Heights North,3,2,1950.14
Friday,Crown Heights North,3,3,1714.27
Friday,Crown Heights North,3,4,2748.81
Friday,Crown Heights North,3,5,4035.24
Friday,Crown Heights North,3,6,6389.88
Friday,Crown Heights North,3,7,8507.36
Friday,Crown Heights North,3,8,9268.62
Friday,Crown Heights North,3,9,7384.38
Friday,Crown Heights North,3,10,6354.44
Friday,Crown Heights North,3,11,6010.47
Friday,Crown Heights North,3,12,5535.1
Friday,Crown Heights North,3,13,5961.43
Friday,Crown Heights North,3,14,6854.84
Friday,Crown Heights North,3,15,7166.95
Friday,Crown Heights North,3,16,7905.38
Friday,Crown Heights North,3,17,8909.31
Friday,Crown Heights North,3,18,11752.75
Friday,Crown Heights North,3,19,9580.49
Friday,Crown Heights North,3,20,7836.38
Friday,Crown Heights North,3,21,7628.7
Friday,Crown Heights North,3,22,8417.2
Friday,Crown Heights North,3,23,8727.64
Friday,Crown Heights North,4,0,3992.58
Friday,Crown Heights North,4,1,2800.12
Friday,Crown Heights North,4,2,1659.16
Friday,Crown Heights North,4,3,2038.6100000000001
Friday,Crown Heights North,4,4,3013.44
Friday,Crown Heights North,4,5,4067.5
Friday,Crown Heights North,4,6,5038.57
Friday,Crown Heights North,4,7,7364.2
Friday,Crown Heights North,4,8,7183.76
Friday,Crown Heights North,4,9,6674.55
Friday,Crown Heights North,4,10,6158.11
Friday,Crown Heights North,4,11,6303.23
Friday,Crown Heights North,4,12,6109.26
Friday,Crown Heights North,4,13,5647.95
Friday,Crown Heights North,4,14,7159.89
Friday,Crown Heights North,4,15,7351.58
Friday,Crown Heights North,4,16,8023.51
Friday,Crown Heights North,4,17,8557.17
Friday,Crown Heights North,4,18,10373.18
Friday,Crown Heights North,4,19,9017.82
Friday,Crown Heights North,4,20,9125.27
Friday,Crown Heights North,4,21,8595.26
Friday,Crown Heights North,4,22,8483.54
Friday,Crown Heights North,4,23,9790.58
Friday,Crown Heights North,5,0,3815.37
Friday,Crown Heights North,5,1,2918.93
Friday,Crown Heights North,5,2,1756.77
Friday,Crown Heights North,5,3,2607.4900000000002
Friday,Crown Heights North,5,4,3287.72
Friday,Crown Heights North,5,5,4337.84
Friday,Crown Heights North,5,6,5970.61
Friday,Crown Heights North,5,7,7120.15
Friday,Crown Heights North,5,8,7670.6
Friday,Crown Heights North,5,9,7060.02
Friday,Crown Heights North,5,10,5357.48
Friday,Crown Heights North,5,11,6418.24
Friday,Crown Heights North,5,12,5895.17
Friday,Crown Heights North,5,13,6809.43
Friday,Crown Heights North,5,14,7471.49
Friday,Crown Heights North,5,15,7339.05
Friday,Crown Heights North,5,16,8082.11
Friday,Crown Heights North,5,17,8990.49
Friday,Crown Heights North,5,18,10066.03
Friday,Crown Heights North,5,19,10700.91
Friday,Crown Heights North,5,20,8810.98
Friday,Crown Heights North,5,21,8914.11
Friday,Crown Heights North,5,22,9070.94
Friday,Crown Heights North,5,23,8581.43
Friday,East Chelsea,2,0,6958.53
Friday,East Chelsea,2,1,4779.37
Friday,East Chelsea,2,2,2839.14
Friday,East Chelsea,2,3,2763.51
Friday,East Chelsea,2,4,2179.56
Friday,East Chelsea,2,5,1210.74
Friday,East Chelsea,2,6,1719.48
Friday,East Chelsea,2,7,2250.13
Friday,East Chelsea,2,8,3456.17
Friday,East Chelsea,2,9,4052.66
Friday,East Chelsea,2,10,4819.91
Friday,East Chelsea,2,11,5380.75
Friday,East Chelsea,2,12,4823.77
Friday,East Chelsea,2,13,5862.58
Friday,East Chelsea,2,14,6765.76
Friday,East Chelsea,2,15,6617.85
Friday,East Chelsea,2,16,6132.96
Friday,East Chelsea,2,17,6366.19
Friday,East Chelsea,2,18,6855.08
Friday,East Chelsea,2,19,8711.95
Friday,East Chelsea,2,20,6327.91
Friday,East Chelsea,2,21,6871.13
Friday,East Chelsea,2,22,6062.11
Friday,East Chelsea,2,23,6224.23
Friday,East Chelsea,3,0,7323.92
Friday,East Chelsea,3,1,3769.55
Friday,East Chelsea,3,2,3195.49
Friday,East Chelsea,3,3,2673.08
Friday,East Chelsea,3,4,3925.61
Friday,East Chelsea,3,5,3216.2
Friday,East Chelsea,3,6,4503.84
Friday,East Chelsea,3,7,5736.33
Friday,East Chelsea,3,8,8713.14
Friday,East Chelsea,3,9,6229.09
Friday,East Chelsea,3,10,7220.63
Friday,East Chelsea,3,11,6612.77
Friday,East Chelsea,3,12,7581.96
Friday,East Chelsea,3,13,8812.14
Friday,East Chelsea,3,14,7418.62
Friday,East Chelsea,3,15,9479.62
Friday,East Chelsea,3,16,7248.17
Friday,East Chelsea,3,17,8352.07
Friday,East Chelsea,3,18,9229.01
Friday,East Chelsea,3,19,8898.7
Friday,East Chelsea,3,20,8833.1
Friday,East Chelsea,3,21,9514.77
Friday,East Chelsea,3,22,10989.92
Friday,East Chelsea,3,23,10709.61
Friday,East Chelsea,4,0,6101.09
Friday,East Chelsea,4,1,3949.17
Friday,East Chelsea,4,2,3610.37
Friday,East Chelsea,4,3,3076.95
Friday,East Chelsea,4,4,3422.66
Friday,East Chelsea,4,5,3793.96
Friday,East Chelsea,4,6,4310.33
Friday,East Chelsea,4,7,5338.28
Friday,East Chelsea,4,8,6406.96
Friday,East Chelsea,4,9,5403.39
Friday,East Chelsea,4,10,7121.46
Friday,East Chelsea,4,11,7658.34
Friday,East Chelsea,4,12,7330.67
Friday,East Chelsea,4,13,7482.04
Friday,East Chelsea,4,14,9092.76
Friday,East Chelsea,4,15,11005.01
Friday,East Chelsea,4,16,9167.31
Friday,East Chelsea,4,17,10156.37
Friday,East Chelsea,4,18,10561.67
Friday,East Chelsea,4,19,9926.66
Friday,East Chelsea,4,20,8609.16
Friday,East Chelsea,4,21,9788.710000000001
Friday,East Chelsea,4,22,10351.46
Friday,East Chelsea,4,23,12356.76
Friday,East Chelsea,5,0,6684.84
Friday,East Chelsea,5,1,4595.73
Friday,East Chelsea,5,2,3734.93
Friday,East Chelsea,5,3,3319.66
Friday,East Chelsea,5,4,3702.87
Friday,East Chelsea,5,5,3280.27
Friday,East Chelsea,5,6,3623.99
Friday,East Chelsea,5,7,5224.51
Friday,East Chelsea,5,8,6778.49
Friday,East Chelsea,5,9,6896.28
Friday,East Chelsea,5,10,6860.87
Friday,East Chelsea,5,11,6828.3099999999995
Friday,East Chelsea,5,12,7163.42
Friday,East Chelsea,5,13,9246.49
Friday,East Chelsea,5,14,7873.85
Friday,East Chelsea,5,15,8375.1
Friday,East Chelsea,5,16,8409.04
Friday,East Chelsea,5,17,8168.56
Friday,East Chelsea,5,18,8828.53
Friday,East Chelsea,5,19,8983.72
Friday,East Chelsea,5,20,8836.41
Friday,East Chelsea,5,21,9455.49
Friday,East Chelsea,5,22,11159.23
Friday,East Chelsea,5,23,12084.03
Friday,East Village,2,0,7584.38
Friday,East Village,2,1,6256.87
Friday,East Village,2,2,6231.89
Friday,East Village,2,3,4525.11
Friday,East Village,2,4,2404.94
Friday,East Village,2,5,2139.66
Friday,East Village,2,6,1581.98
Friday,East Village,2,7,1879.88
Friday,East Village,2,8,2205.77
Friday,East Village,2,9,2076.44
Friday,East Village,2,10,2876.25
Friday,East Village,2,11,3239.91
Friday,East Village,2,12,3140.85
Friday,East Village,2,13,4307.62
Friday,East Village,2,14,4567.39
Friday,East Village,2,15,4030.61
Friday,East Village,2,16,5788.87
Friday,East Village,2,17,4785.4
Friday,East Village,2,18,5574.65
Friday,East Village,2,19,10038.03
Friday,East Village,2,20,6502.56
Friday,East Village,2,21,7136.55
Friday,East Village,2,22,8602.26
Friday,East Village,2,23,10027.039999999999
Friday,East Village,3,0,10938.92
Friday,East Village,3,1,8838.23
Friday,East Village,3,2,7231.52
Friday,East Village,3,3,4751.86
Friday,East Village,3,4,4327.17
Friday,East Village,3,5,2866.82
Friday,East Village,3,6,3685.91
Friday,East Village,3,7,4230.18
Friday,East Village,3,8,5328.55
Friday,East Village,3,9,5252.17
Friday,East Village,3,10,4126.16
Friday,East Village,3,11,4780.13
Friday,East Village,3,12,4530.54
Friday,East Village,3,13,4917.06
Friday,East Village,3,14,5297.12
Friday,East Village,3,15,5876.9800000000005
Friday,East Village,3,16,6080.49
Friday,East Village,3,17,6240.75
Friday,East Village,3,18,9081.17
Friday,East Village,3,19,9622.97
Friday,East Village,3,20,9243.56
Friday,East Village,3,21,11351.56
Friday,East Village,3,22,16069.97
Friday,East Village,3,23,18455.98
Friday,East Village,4,0,9927.89
Friday,East Village,4,1,7873.19
Friday,East Village,4,2,7241.92
Friday,East Village,4,3,5923.51
Friday,East Village,4,4,4076.11
Friday,East Village,4,5,4043.67
Friday,East Village,4,6,3242.58
Friday,East Village,4,7,3515.19
Friday,East Village,4,8,5080.0199999999995
Friday,East Village,4,9,4762.37
Friday,East Village,4,10,4105.57
Friday,East Village,4,11,3669.98
Friday,East Village,4,12,4130.63
Friday,East Village,4,13,5062.83
Friday,East Village,4,14,5161.38
Friday,East Village,4,15,5441.03
Friday,East Village,4,16,6625.54
Friday,East Village,4,17,8052.91
Friday,East Village,4,18,10065.11
Friday,East Village,4,19,9908.51
Friday,East Village,4,20,9301.85
Friday,East Village,4,21,11156.74
Friday,East Village,4,22,15024.79
Friday,East Village,4,23,17089.46
Friday,East Village,5,0,11368.7
Friday,East Village,5,1,9317.46
Friday,East Village,5,2,7305.46
Friday,East Village,5,3,4920.89
Friday,East Village,5,4,4066.04
Friday,East Village,5,5,3301.23
Friday,East Village,5,6,3496.77
Friday,East Village,5,7,4893.21
Friday,East Village,5,8,5046.84
Friday,East Village,5,9,4442.61
Friday,East Village,5,10,4505.83
Friday,East Village,5,11,4560.04
Friday,East Village,5,12,5779.11
Friday,East Village,5,13,6269.62
Friday,East Village,5,14,5530.17
Friday,East Village,5,15,6633.34
Friday,East Village,5,16,5732.39
Friday,East Village,5,17,6976.52
Friday,East Village,5,18,7702.72
Friday,East Village,5,19,10251.78
Friday,East Village,5,20,9943.11
Friday,East Village,5,21,11576.54
Friday,East Village,5,22,14992.21
Friday,East Village,5,23,17774.43
Friday,JFK Airport,2,0,16190.98
Friday,JFK Airport,2,1,8592.08
Friday,JFK Airport,2,2,3638.38
Friday,JFK Airport,2,3,1288.6
Friday,JFK Airport,2,4,1432.32
Friday,JFK Airport,2,5,6557.63
Friday,JFK Airport,2,6,12990.71
Friday,JFK Airport,2,7,12364.88
Friday,JFK Airport,2,8,19841.08
Friday,JFK Airport,2,9,11048.45
Friday,JFK Airport,2,10,17315.3
Friday,JFK Airport,2,11,17401.09
Friday,JFK Airport,2,12,12825.88
Friday,JFK Airport,2,13,17137.82
Friday,JFK Airport,2,14,27072.98
Friday,JFK Airport,2,15,28108.04
Friday,JFK Airport,2,16,34975.32
Friday,JFK Airport,2,17,31099.06
Friday,JFK Airport,2,18,24502.45
Friday,JFK Airport,2,19,29298.02
Friday,JFK Airport,2,20,26618.44
Friday,JFK Airport,2,21,24743.2
Friday,JFK Airport,2,22,39507.72
Friday,JFK Airport,2,23,33747.56
Friday,JFK Airport,3,0,35780.39
Friday,JFK Airport,3,1,12163.51
Friday,JFK Airport,3,2,6146.45
Friday,JFK Airport,3,3,5738.0
Friday,JFK Airport,3,4,1723.82
Friday,JFK Airport,3,5,11954.57
Friday,JFK Airport,3,6,21817.22
Friday,JFK Airport,3,7,23780.72
Friday,JFK Airport,3,8,20915.74
Friday,JFK Airport,3,9,15805.960000000001
Friday,JFK Airport,3,10,17613.38
Friday,JFK Airport,3,11,31653.85
Friday,JFK Airport,3,12,20153.09
Friday,JFK Airport,3,13,23390.03
Friday,JFK Airport,3,14,26031.56
Friday,JFK Airport,3,15,39113.23
Friday,JFK Airport,3,16,44288.31
Friday,JFK Airport,3,17,37963.18
Friday,JFK Airport,3,18,41998.76
Friday,JFK Airport,3,19,28243.29
Friday,JFK Airport,3,20,27259.24
Friday,JFK Airport,3,21,37749.2
Friday,JFK Airport,3,22,39885.31
Friday,JFK Airport,3,23,43910.31
Friday,JFK Airport,4,0,45081.65
Friday,JFK Airport,4,1,18448.55
Friday,JFK Airport,4,2,7389.15
Friday,JFK Airport,4,3,3712.94
Friday,JFK Airport,4,4,3424.78
Friday,JFK Airport,4,5,12285.66
Friday,JFK Airport,4,6,20227.68
Friday,JFK Airport,4,7,22154.61
Friday,JFK Airport,4,8,19403.65
Friday,JFK Airport,4,9,11682.59
Friday,JFK Airport,4,10,13678.98
Friday,JFK Airport,4,11,22622.25
Friday,JFK Airport,4,12,18888.13
Friday,JFK Airport,4,13,17438.170000000002
Friday,JFK Airport,4,14,28111.59
Friday,JFK Airport,4,15,43117.78
Friday,JFK Airport,4,16,40386.64
Friday,JFK Airport,4,17,33658.89
Friday,JFK Airport,4,18,39821.99
Friday,JFK Airport,4,19,36947.09
Friday,JFK Airport,4,20,39432.17
Friday,JFK Airport,4,21,44104.31
Friday,JFK Airport,4,22,57996.23
Friday,JFK Airport,4,23,48303.0
Friday,JFK Airport,5,0,35633.22
Friday,JFK Airport,5,1,9507.35
Friday,JFK Airport,5,2,5682.1
Friday,JFK Airport,5,3,2175.73
Friday,JFK Airport,5,4,3487.05
Friday,JFK Airport,5,5,15112.38
Friday,JFK Airport,5,6,16074.36
Friday,JFK Airport,5,7,22006.4
Friday,JFK Airport,5,8,20016.9
Friday,JFK Airport,5,9,19007.68
Friday,JFK Airport,5,10,23345.4
Friday,JFK Airport,5,11,21133.44
Friday,JFK Airport,5,12,21452.93
Friday,JFK Airport,5,13,24320.99
Friday,JFK Airport,5,14,28174.57
Friday,JFK Airport,5,15,44938.08
Friday,JFK Airport,5,16,41278.77
Friday,JFK Airport,5,17,35342.69
Friday,JFK Airport,5,18,36208.28
Friday,JFK Airport,5,19,34325.46
Friday,JFK Airport,5,20,37013.7
Friday,JFK Airport,5,21,33972.91
Friday,JFK Airport,5,22,40073.85
Friday,JFK Airport,5,23,44358.13
Friday,LaGuardia Airport,2,0,631.8
Friday,LaGuardia Airport,2,1,131.75
Friday,LaGuardia Airport,2,2,296.85
Friday,LaGuardia Airport,2,3,68.04
Friday,LaGuardia Airport,2,4,123.41
Friday,LaGuardia Airport,2,5,168.67
Friday,LaGuardia Airport,2,6,316.07
Friday,LaGuardia Airport,2,7,4044.89
Friday,LaGuardia Airport,2,8,9223.11
Friday,LaGuardia Airport,2,9,13078.19
Friday,LaGuardia Airport,2,10,16491.99
Friday,LaGuardia Airport,2,11,19993.06
Friday,LaGuardia Airport,2,12,18717.97
Friday,LaGuardia Airport,2,13,20605.9
Friday,LaGuardia Airport,2,14,22024.99
Friday,LaGuardia Airport,2,15,18824.07
Friday,LaGuardia Airport,2,16,22377.6
Friday,LaGuardia Airport,2,17,16736.2
Friday,LaGuardia Airport,2,18,17577.56
Friday,LaGuardia Airport,2,19,10625.42
Friday,LaGuardia Airport,2,20,3710.63
Friday,LaGuardia Airport,2,21,8573.78
Friday,LaGuardia Airport,2,22,13065.2
Friday,LaGuardia Airport,2,23,22194.87
Friday,LaGuardia Airport,3,0,14348.14
Friday,LaGuardia Airport,3,1,323.38
Friday,LaGuardia Airport,3,2,55.15
Friday,LaGuardia Airport,3,3,139.34
Friday,LaGuardia Airport,3,4,28.729999999999997
Friday,LaGuardia Airport,3,5,236.23
Friday,LaGuardia Airport,3,6,287.83
Friday,LaGuardia Airport,3,7,4769.91
Friday,LaGuardia Airport,3,8,13162.38
Friday,LaGuardia Airport,3,9,22051.98
Friday,LaGuardia Airport,3,10,24477.89
Friday,LaGuardia Airport,3,11,33394.74
Friday,LaGuardia Airport,3,12,30424.53
Friday,LaGuardia Airport,3,13,19580.19
Friday,LaGuardia Airport,3,14,35123.68
Friday,LaGuardia Airport,3,15,30834.67
Friday,LaGuardia Airport,3,16,29279.83
Friday,LaGuardia Airport,3,17,41801.54
Friday,LaGuardia Airport,3,18,28258.97
Friday,LaGuardia Airport,3,19,39313.39
Friday,LaGuardia Airport,3,20,33514.56
Friday,LaGuardia Airport,3,21,27689.12
Friday,LaGuardia Airport,3,22,28033.43
Friday,LaGuardia Airport,3,23,25311.95
Friday,LaGuardia Airport,4,0,31380.42
Friday,LaGuardia Airport,4,1,5808.97
Friday,LaGuardia Airport,4,2,1499.97
Friday,LaGuardia Airport,4,3,494.65
Friday,LaGuardia Airport,4,4,804.56
Friday,LaGuardia Airport,4,5,2688.59
Friday,LaGuardia Airport,4,6,3837.61
Friday,LaGuardia Airport,4,7,4939.49
Friday,LaGuardia Airport,4,8,8061.45
Friday,LaGuardia Airport,4,9,16229.87
Friday,LaGuardia Airport,4,10,16395.7
Friday,LaGuardia Airport,4,11,20717.53
Friday,LaGuardia Airport,4,12,29981.1
Friday,LaGuardia Airport,4,13,35993.9
Friday,LaGuardia Airport,4,14,35152.01
Friday,LaGuardia Airport,4,15,27241.86
Friday,LaGuardia Airport,4,16,31724.5
Friday,LaGuardia Airport,4,17,47816.76
Friday,LaGuardia Airport,4,18,38742.33
Friday,LaGuardia Airport,4,19,24182.88
Friday,LaGuardia Airport,4,20,35600.0
Friday,LaGuardia Airport,4,21,38026.46
Friday,LaGuardia Airport,4,22,35409.65
Friday,LaGuardia Airport,4,23,24078.35
Friday,LaGuardia Airport,5,0,9419.01
Friday,LaGuardia Airport,5,1,937.41
Friday,LaGuardia Airport,5,2,77.42
Friday,LaGuardia Airport,5,3,58.47
Friday,LaGuardia Airport,5,4,73.27
Friday,LaGuardia Airport,5,5,431.77
Friday,LaGuardia Airport,5,6,247.95000000000002
Friday,LaGuardia Airport,5,7,8994.49
Friday,LaGuardia Airport,5,8,15697.95
Friday,LaGuardia Airport,5,9,23669.1
Friday,LaGuardia Airport,5,10,33845.86
Friday,LaGuardia Airport,5,11,26970.05
Friday,LaGuardia Airport,5,12,28457.78
Friday,LaGuardia Airport,5,13,30393.76
Friday,LaGuardia Airport,5,14,34976.73
Friday,LaGuardia Airport,5,15,39174.74
Friday,LaGuardia Airport,5,16,39635.09
Friday,LaGuardia Airport,5,17,39848.33
Friday,LaGuardia Airport,5,18,27371.66
Friday,LaGuardia Airport,5,19,33137.26
Friday,LaGuardia Airport,5,20,31126.09
Friday,LaGuardia Airport,5,21,26992.48
Friday,LaGuardia Airport,5,22,18937.54
Friday,LaGuardia Airport,5,23,28362.93
Friday,Midtown Center,2,0,1861.72
Friday,Midtown Center,2,1,798.31
Friday,Midtown Center,2,2,538.78
Friday,Midtown Center,2,3,684.6800000000001
Friday,Midtown Center,2,4,512.93
Friday,Midtown Center,2,5,590.75
Friday,Midtown Center,2,6,1183.12
Friday,Midtown Center,2,7,1499.24
Friday,Midtown Center,2,8,2888.89
Friday,Midtown Center,2,9,1963.73
Friday,Midtown Center,2,10,3630.55
Friday,Midtown Center,2,11,4588.01
Friday,Midtown Center,2,12,4373.4
Friday,Midtown Center,2,13,5767.37
Friday,Midtown Center,2,14,7269.97
Friday,Midtown Center,2,15,6210.4
Friday,Midtown Center,2,16,8386.13
Friday,Midtown Center,2,17,7310.24
Friday,Midtown Center,2,18,6950.36
Friday,Midtown Center,2,19,10618.79
Friday,Midtown Center,2,20,6181.42
Friday,Midtown Center,2,21,5606.86
Friday,Midtown Center,2,22,6889.85
Friday,Midtown Center,2,23,5414.46
Friday,Midtown Center,3,0,8571.09
Friday,Midtown Center,3,1,4496.53
Friday,Midtown Center,3,2,2548.78
Friday,Midtown Center,3,3,1575.1200000000001
Friday,Midtown Center,3,4,1557.82
Friday,Midtown Center,3,5,1744.2
Friday,Midtown Center,3,6,2720.34
Friday,Midtown Center,3,7,3385.74
Friday,Midtown Center,3,8,4315.04
Friday,Midtown Center,3,9,5454.81
Friday,Midtown Center,3,10,7801.61
Friday,Midtown Center,3,11,7393.04
Friday,Midtown Center,3,12,7859.32
Friday,Midtown Center,3,13,9798.93
Friday,Midtown Center,3,14,10691.87
Friday,Midtown Center,3,15,9358.52
Friday,Midtown Center,3,16,9670.58
Friday,Midtown Center,3,17,9298.83
Friday,Midtown Center,3,18,11124.26
Friday,Midtown Center,3,19,10626.95
Friday,Midtown Center,3,20,7854.39
Friday,Midtown Center,3,21,9209.62
Friday,Midtown Center,3,22,8958.61
Friday,Midtown Center,3,23,6569.8
Friday,Midtown Center,4,0,10113.18
Friday,Midtown Center,4,1,5430.9
Friday,Midtown Center,4,2,3268.2400000000002
Friday,Midtown Center,4,3,1297.14
Friday,Midtown Center,4,4,1428.51
Friday,Midtown Center,4,5,1919.1
Friday,Midtown Center,4,6,2512.95
Friday,Midtown Center,4,7,2909.87
Friday,Midtown Center,4,8,5193.16
Friday,Midtown Center,4,9,5747.64
Friday,Midtown Center,4,10,6935.15
Friday,Midtown Center,4,11,7678.8
Friday,Midtown Center,4,12,9879.53
Friday,Midtown Center,4,13,10153.68
Friday,Midtown Center,4,14,12665.19
Friday,Midtown Center,4,15,13355.83
Friday,Midtown Center,4,16,11344.0
Friday,Midtown Center,4,17,10250.63
Friday,Midtown Center,4,18,9758.39
Friday,Midtown Center,4,19,8530.49
Friday,Midtown Center,4,20,8471.12
Friday,Midtown Center,4,21,8246.05
Friday,Midtown Center,4,22,9908.38
Friday,Midtown Center,4,23,8887.51
Friday,Midtown Center,5,0,8133.02
Friday,Midtown Center,5,1,3838.26
Friday,Midtown Center,5,2,2343.07
Friday,Midtown Center,5,3,1426.17
Friday,Midtown Center,5,4,1800.21
Friday,Midtown Center,5,5,2130.78
Friday,Midtown Center,5,6,2653.99
Friday,Midtown Center,5,7,2947.75
Friday,Midtown Center,5,8,4725.05
Friday,Midtown Center,5,9,4604.78
Friday,Midtown Center,5,10,6371.42
Friday,Midtown Center,5,11,7194.51
Friday,Midtown Center,5,12,9939.88
Friday,Midtown Center,5,13,9958.56
Friday,Midtown Center,5,14,10703.98
Friday,Midtown Center,5,15,9517.33
Friday,Midtown Center,5,16,10682.98
Friday,Midtown Center,5,17,10576.92
Friday,Midtown Center,5,18,8499.42
Friday,Midtown Center,5,19,9673.43
Friday,Midtown Center,5,20,9149.03
Friday,Midtown Center,5,21,8328.84
Friday,Midtown Center,5,22,9491.51
Friday,Midtown Center,5,23,6793.61
Friday,Midtown South,2,0,6172.51
Friday,Midtown South,2,1,5010.07
Friday,Midtown South,2,2,3465.05
Friday,Midtown South,2,3,2120.61
Friday,Midtown South,2,4,2173.5
Friday,Midtown South,2,5,1727.29
Friday,Midtown South,2,6,1788.01
Friday,Midtown South,2,7,2294.11
Friday,Midtown South,2,8,2863.35
Friday,Midtown South,2,9,3260.9
Friday,Midtown South,2,10,4141.16
Friday,Midtown South,2,11,5327.32
Friday,Midtown South,2,12,5465.83
Friday,Midtown South,2,13,4864.42
Friday,Midtown South,2,14,5438.81
Friday,Midtown South,2,15,5482.09
Friday,Midtown South,2,16,4770.05
Friday,Midtown South,2,17,5759.78
Friday,Midtown South,2,18,6445.05
Friday,Midtown South,2,19,9597.59
Friday,Midtown South,2,20,6401.54
Friday,Midtown South,2,21,6027.2
Friday,Midtown South,2,22,6856.71
Friday,Midtown South,2,23,7915.29
Friday,Midtown South,3,0,8569.79
Friday,Midtown South,3,1,5293.74
